Sourec airport IATA,Soure airport ID,Source Country,Source City,Cource airport name,Source Lat,Source Long,source timezone,source DST,Destination Airport IATA,Destination Airport ID,Destination Country,Destination city,Desitination Airport name,Destination Lat,Destination Long,Destination timezone,Destination DST,Distance
FRU,2912,Kyrgyzstan,Bishkek,Manas International Airport,43.06129837,74.4776001,6,U,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,1801.980107
GYD,2922,Azerbaijan,Baku,Heydar Aliyev International Airport,40.46749878,50.04669952,4,E,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,1969.546785
HRB,3400,China,Harbin,Taiping Airport,45.62340164,126.25,8,U,OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,3206.539146
HRB,3400,China,Harbin,Taiping Airport,45.62340164,126.25,8,U,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,4536.080507
IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,HRB,3400,China,Harbin,Taiping Airport,45.62340164,126.25,8,U,1750.129451
KHV,2927,Russia,Khabarovsk,Khabarovsk-Novy Airport,48.52799988,135.1880035,10,N,OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,3596.628392
KJA,4374,Russia,Krasnoyarsk,Yemelyanovo Airport,56.172901,92.493301,7,N,DYU,2979,Tajikistan,Dushanbe,Dushanbe Airport,38.54330063,68.82499695,5,U,2623.448138
KJA,4374,Russia,Krasnoyarsk,Yemelyanovo Airport,56.172901,92.493301,7,N,LBD,6147,Tajikistan,Khudzhand,Khudzhand Airport,40.2154007,69.69470215,5,U,2428.024303
KJA,4374,Russia,Krasnoyarsk,Yemelyanovo Airport,56.172901,92.493301,7,N,NMA,6150,Uzbekistan,Namangan,Namangan Airport,40.98460007,71.55670166,5,U,2267.599466
KJA,4374,Russia,Krasnoyarsk,Yemelyanovo Airport,56.172901,92.493301,7,N,SKD,2981,Uzbekistan,Samarkand,Samarkand Airport,39.70050049,66.9838028,5,U,2610.814031
KJA,4374,Russia,Krasnoyarsk,Yemelyanovo Airport,56.172901,92.493301,7,N,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,1930.710105
KJA,4374,Russia,Krasnoyarsk,Yemelyanovo Airport,56.172901,92.493301,7,N,TAS,2983,Uzbekistan,Tashkent,Tashkent International Airport,41.25790024,69.28119659,5,U,2355.410777
LBD,6147,Tajikistan,Khudzhand,Khudzhand Airport,40.2154007,69.69470215,5,U,CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,1783.272408
LBD,6147,Tajikistan,Khudzhand,Khudzhand Airport,40.2154007,69.69470215,5,U,KJA,4374,Russia,Krasnoyarsk,Yemelyanovo Airport,56.172901,92.493301,7,N,2428.024303
LBD,6147,Tajikistan,Khudzhand,Khudzhand Airport,40.2154007,69.69470215,5,U,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,1947.342687
LBD,6147,Tajikistan,Khudzhand,Khudzhand Airport,40.2154007,69.69470215,5,U,UFA,2992,Russia,Ufa,Ufa International Airport,54.55749893,55.87440109,5,N,1896.630658
LCA,1197,Cyprus,Larnaca,Larnaca International Airport,34.87509918,33.62490082,2,E,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,3174.990598
NMA,6150,Uzbekistan,Namangan,Namangan Airport,40.98460007,71.55670166,5,U,CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,1754.332921
NMA,6150,Uzbekistan,Namangan,Namangan Airport,40.98460007,71.55670166,5,U,KJA,4374,Russia,Krasnoyarsk,Yemelyanovo Airport,56.172901,92.493301,7,N,2267.599466
NMA,6150,Uzbekistan,Namangan,Namangan Airport,40.98460007,71.55670166,5,U,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,1915.435259
NSK,4352,Russia,Norilsk,Norilsk-Alykel Airport,69.31109619,87.3321991,7,N,OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,1607.261787
NSK,4352,Russia,Norilsk,Norilsk-Alykel Airport,69.31109619,87.3321991,7,N,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,1904.787469
OSS,2913,Kyrgyzstan,Osh,Osh Airport,40.60900116,72.79329681,6,U,CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,1832.46625
OSS,2913,Kyrgyzstan,Osh,Osh Airport,40.60900116,72.79329681,6,U,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,1991.713886
OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,HRB,3400,China,Harbin,Taiping Airport,45.62340164,126.25,8,U,3206.539146
OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,KHV,2927,Russia,Khabarovsk,Khabarovsk-Novy Airport,48.52799988,135.1880035,10,N,3596.628392
OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,NSK,4352,Russia,Norilsk,Norilsk-Alykel Airport,69.31109619,87.3321991,7,N,1607.261787
OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,1370.297259
OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,YKS,2923,Russia,Yakutsk,Yakutsk Airport,62.09329987,129.7709961,9,N,2775.171482
PEE,2973,Russia,Perm,Bolshoye Savino Airport,57.91450119,56.02119827,5,N,DWC,8076,United Arab Emirates,Dubai,Al Maktoum International Airport,24.896356,55.161389,4,U,3672.084483
PEK,3364,China,Beijing,Beijing Capital International Airport,40.08010101,116.5849991,8,U,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,4364.680638
SKD,2981,Uzbekistan,Samarkand,Samarkand Airport,39.70050049,66.9838028,5,U,KJA,4374,Russia,Krasnoyarsk,Yemelyanovo Airport,56.172901,92.493301,7,N,2610.814031
SKD,2981,Uzbekistan,Samarkand,Samarkand Airport,39.70050049,66.9838028,5,U,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,1947.662964
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,DWC,8076,United Arab Emirates,Dubai,Al Maktoum International Airport,24.896356,55.161389,4,U,3570.179343
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,DXB,2188,United Arab Emirates,Dubai,Dubai International Airport,25.25279999,55.36439896,4,U,3528.696614
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,DYU,2979,Tajikistan,Dushanbe,Dushanbe Airport,38.54330063,68.82499695,5,U,2107.666729
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,EVN,3964,Armenia,Yerevan,Zvartnots International Airport,40.14730072,44.39590073,4,E,2194.243363
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,FRU,2912,Kyrgyzstan,Bishkek,Manas International Airport,43.06129837,74.4776001,6,U,1801.980107
